state,state_abbr,population
Alabama,AL,4903185.00
Alaska,AK,731545.00
Arizona,AZ,7278717.00
Arkansas,AR,3017825.00
California,CA,39512223.00
Colorado,CO,5758736.00
Connecticut,CT,3565287.00
Delaware,DE,973764.00
Wahington DC,DC,705749.00
Florida,FL,21477737.00
Georgia,GA,10617423.00
Hawaii,HI,1415872.00
Idaho,ID,1787065.00
Illinois,IL,12671821.00
Indiana,IN,6732219.00
Iowa,IA,3155070.00
Kansas,KS,2913314.00
Kentucky,KY,4467673.00
Louisiana,LA,4648794.00
Maine,ME,1344212.00
Maryland,MD,6045680.00
Massachusetts,MA,6949503.00
Michigan,MI,9986857.00
Minnesota,MN,5639632.00
Mississippi,MS,2976149.00
Missouri,MO,6137428.00
Montana,MT,1068778.00
Nebraska,NE,1934408.00
Nevada,NV,3080156.00
New Hampshire,NH,1359711.00
New Jersey,NJ,8882190.00
New Mexico,NM,2096829.00
New York,NY,19453561.00
North Carolina,NC,10488084.00
North Dakota,ND,762062.00
Ohio,OH,11689100.00
Oklahoma,OK,3956971.00
Oregon,OR,4217737.00
Pennsylvania,PA,12801989.00
Rhode Island,RI,1059361.00
South Carolina,SC,5148714.00
South Dakota,SD,884659.00
Tennessee,TN,6833174.00
Texas,TX,28995881.00
Utah,UT,3205958.00
Vermont,VT,623989.00
Virginia,VA,8535519.00
Washington,WA,7614893.00
West Virginia,WV,1792147.00
Wisconsin,WI,5822434.00
Wyoming,WY,578759.00
American Samoa,AS,55465.00
Guam,GU,165768.00
Northern Mariana Islands,MP,56882.00
Puerto Rico,PR,3193694.00
Virgin Islands,VI,106977.00